,0,1,2,3
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_98_P0,340,192,371,262
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_98_P1,302,194,327,265
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_98_P2,231,159,247,223
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_98_P3,323,70,325,113
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_98_P4,325,85,326,113
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_376_P0,316,182,343,265
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_376_P1,387,145,414,221
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_376_P2,273,178,300,252
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_376_P3,316,50,331,98
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_464_P0,309,182,340,267
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_464_P1,274,174,293,247
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_464_P2,380,142,401,214
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_464_P3,312,46,324,97
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_568_P0,313,181,348,278
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_568_P1,276,179,301,268
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_568_P2,333,35,353,98
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_568_P3,427,154,444,238
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_849_P0,246,158,269,243
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_849_P1,380,183,406,271
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_849_P2,307,184,340,285
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_849_P3,308,51,327,105
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_849_P4,309,67,318,105
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_1043_P0,402,151,427,228
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_1043_P1,316,175,345,262
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_1043_P2,255,167,286,248
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_1043_P3,324,50,342,98
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_1043_P4,309,65,320,90
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_1252_P0,308,183,339,278
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_1252_P1,204,144,238,227
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_1252_P2,356,174,380,262
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_1252_P3,317,42,333,89
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_1359_P0,354,191,380,276
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_1359_P1,314,174,341,262
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_1359_P2,160,137,191,217
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_1359_P3,308,35,326,84
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_1359_P4,308,53,318,84
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_1550_P0,333,160,373,230
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_1550_P1,313,159,336,238
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_1550_P2,238,121,262,195
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_1927_P0,307,197,327,262
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_1927_P1,381,160,402,223
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_1927_P2,275,176,287,239
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_1927_P3,316,89,323,121
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_1927_P4,316,85,317,99
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_2124_P0,309,159,338,238
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_2124_P1,261,170,289,250
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_2124_P2,420,129,449,201
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_2124_P3,330,42,338,89
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_2278_P0,293,113,338,261
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_2534_P0,303,168,336,259
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_2534_P1,395,146,426,230
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_2534_P2,238,167,266,247
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_2534_P3,316,35,331,96
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_2672_P0,395,165,425,236
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_2672_P1,301,201,327,274
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_2672_P2,263,176,284,246
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_2672_P3,309,70,324,119
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_2672_P4,292,15,299,49
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_2672_P5,311,72,320,90
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_2848_P0,247,164,275,251
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_2848_P1,387,129,411,202
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_2848_P2,308,164,339,247
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_2848_P3,324,34,334,82
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_3051_P0,306,207,332,286
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_3051_P1,391,176,416,253
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_3051_P2,308,72,330,129
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_3051_P3,254,190,269,264
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_3247_P0,241,191,270,276
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_3247_P1,301,206,329,286
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_3247_P2,390,176,410,254
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_3247_P3,310,75,328,128
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_3388_P0,257,184,284,262
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_3388_P1,441,137,457,210
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_3388_P2,308,174,337,256
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_3388_P3,308,43,324,90
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_3388_P4,311,43,323,65
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_3508_P0,315,191,340,284
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_3508_P1,277,175,301,265
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_3508_P2,449,147,466,227
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_3508_P3,316,49,333,99
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_3618_P0,308,210,340,310
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_3618_P1,480,165,511,254
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_3618_P2,270,159,291,267
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_3618_P3,310,56,334,111
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_3792_P0,394,168,413,229
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_3792_P1,254,199,279,263
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_3792_P2,305,200,326,262
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_3955_P0,427,149,456,230
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_3955_P1,308,198,339,285
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_3955_P2,265,179,285,268
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_3955_P3,330,58,345,107
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_4054_P0,256,154,291,270
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_4054_P1,301,219,337,327
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_4054_P2,308,41,335,113
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_4054_P3,398,169,425,261
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_4131_P0,308,209,330,278
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_4131_P1,269,199,292,277
ICC WT20 - Afghanistan vs South Africa - Match Highlights.avi_4131_P2,396,178,419,245
